,Topic,tweet
6083,  درخواست واکسیناسیون تمامی دانش‌آموزان قبل از بازگشایی مدارس,22
6084,  درخواست تفکیک وزارتخانه تعاون، کار و رفاه اجتماعی,-1
6085,  مخالفت با برنامه وزیر پیشنهادی فرهنگ و ارشاد اسلامی,-1
6086,  درخواست تبدیل وضعیت نیروهای کارگری موقت و طرحی وزارتخانه‌ها,10
6087,  درخواست احتساب فوق‌العاده دورکاری برای کارمندان شیفت‌کار در ایام کرونا,-1
6088,  درخواست برگزاری مجازی کلاس‌های مقطع تحصیلات تکمیلی در ترم مهرماه,-1
6089,  تشکر از مقام معظم رهبری جهت استفاده از نیروهای شایسته اهل سنت,55
6090,  درخواست پرداخت پاداش بازنشستگان فرهنگی استان فارس,-1
6091,  درخواست برگزاری دو نوبت آزمون دانشنامه تخصصی در سال,-1
6092,  درخواست برقراری فوق‌العاده ویژه پرسنل وزارت میراث فرهنگی، گردشگری و صنایع دستی,71
6093,  درخواست اجرای سریع همسان‌سازی حقوق و دستمزد کارکنان مؤسسات ادغامی در بانک سپه,-1
6094,  سپاسگزاری از مردم و دولت ژاپن,-1
6095,  درخواست بازنگری در بخشنامه جدید دانشگاه آزاد در خصوص دانشجویان دکتری,-1
6096,  درخواست استفاده از گرایش‌های رشته جغرافیا در دستگاه‌های اجرایی,-1
6097,  درخواست توجه ویژه به توانیابان ذهنی اوتیسم و سندروم داون,-1
6098,  درخواست در اولویت قرار گرفتن واکسیناسیون اهالی تئاتر,70
6099,  درخواست لغو آزمون پیش‌درمانگاهی دامپزشکی,11
6100,  مطالبه تغییر مدیریت باشگاه فرهنگی ورزشی استقلال تهران,45
6101,  درخواست تبدیل وضعیت نیروهای طرحی رشته‌های روانشناسی بالینی و عمومی,-1
6102,  مخالفت با استقلال گروه مراقبت‌های ویژه از گروه بیهوشی,4
6103,  درخواست حمایت شغلی از دهیاران,1
6104,  درخواست واکسیناسیون فوری کارکنان مشاغل پرخطر,-1
6105,  درخواست قرار گرفتن رشته مهندسی مدیریت پروژه در رسته نظام مهندسی و تعلق مهر نظام مهندسی به این رشته,39
6106,  حمایت داروسازان کشور از قهرمانان ضد فساد و ضد انحصار در سازمان غذا و دارو,-1
6107,  درخواست واردات فوری واکسن کرونا توسط اتاق بازرگانی تهران,-1
6108,  درخواست واکسیناسیون کارمندان شهرداری‌ها,19
6109,  درخواست لغو تغییر ساعت رسمی کشور در  شش‌ماهه اول و دوم سال,-1
6110,  درخواست در نظر گرفتن امتیاز استخدام برای سربازان شاغل در بیمارستان‌های نظامی,-1
6111,  درخواست اختصاص دستگاه سی‌تی‌اسکن به افراد بالای صد کیلو,1
6112,  نه به تبدیل وضعیت نیروهای طرحی و سهمیه,27
6113,  نه به وزیر پیشنهادی آموزش و پرورش,69
6114,  درخواست افزایش شرط سن شرکت در آزمون کارآموزی وکالت کانون وکلای تهران مرکز,-1
6115,  درخواست رسیدگی به مشکلات باشگاه استقلال,45
6116,  درخواست لغو آزمون‌ استخدامی برای فرزندان ایثارگران، جانبازان و شهدا,-1
6117,  درخواست رسیدگی به وضعیت اشتغال فارغ‌التحصیلان رشته کتابداری و اطلاع‌رسانی پزشکی,42
6118,  درخواست رسیدگی قضائی به اقدام غیرقانونی روبیکا,-1
6119,  درخواست محاکمه قاصرین در مدیریت باشگاه استقلال,-1
6120,  درخواست برگرداندن رسته فروش و شارژ کپسول‌های آتش‌نشانی به اتحادیه تولیدکنندگان و فروشندگان لوازم ایمنی,-1
6121,  درخواست تعطیلی پنجشنبه‌های سازمان تأمین اجتماعی سراسر کشور,8
6122,  اعتراض به آزمون غیراستاندارد محاسبات,-1
6123,  درخواست بازگشایی مدارس,22
6124,  درخواست واکسیناسیون دانشجویان دامپزشکی دانشگاه فردوسی مشهد,12
6125,  درخواست واکسیناسیون کسبه، اصناف و فروشندگان,1
6126,  درخواست محاکمه قانونی متهمین قصور در مقابله با کرونا,-1
6127,  درخواست رایگان شدن هزینه‌های درمان بیماران مبتلا به کرونا,1
6128,  درخواست تبدیل وضعیت کارکنان قراردادی ادارات و مؤسسات دولتی,10
6129,  درخواست واکسیناسیون خانواده کادر درمان دانشگاه علوم پزشکی فسا,12
6130,  درخواست تجدیدنظر در انتخاب شهردار تهران,0
6131,  درخواست پیگیری مطالبات هواداران باشگاه استقلال,45
6132,  درخواست افزایش حقوق کارکنان اداره بهزیستی,-1
6133,  درخواست افزایش حقوق معلمان و مربیان مهدهای کودک,-1
6134,  درخواست حمایت از سهامداران قند تربت‌جام,1
6135,  درخواست صدور مجوز برگزاری پیاده‌روی با شکوه اربعین,-1
6136,  درخواست درمان رایگان کادر درمان و خانواده آنان در صورت ابتلا به کرونا,0
6137,  درخواست صدور مجوز برای مقطع کارشناسی ارشد رشته موسیقی دانشگاه علمی-کاربردی,-1
6138,  درخواست اصلاح قاون رتبه‌بندی معلمان,61
6139,  درخواست اضافه شدن ایثارگران با زیر شش ماه سابقه به سهمیه‌های تبدیل وضعیت,-1
6140,  درخواست استخدام بدون آزمون و یا حذف شرط سن استخدام برای معلولین,-1
6141,  درخواست برخورد با مافیای مسکن,25
6142,  اعتراض به عملکرد ضعیف اداره پست سنندج,-1
6143,  مطالبه علنی و شفاف شدن آرای نمایندگان مجلس شورای اسلامی,97
6144,  مطالبه واکسیناسیون وکلای دادگستری,54
6145,  در خواست ابقای جناب آقای مهدی جمالی‌نژاد در پست ریاست سازمان شهرداری‌ها و دهیاری‌ها,-1
6146,  مطالبه رسمیت‌بخشی به حق دوچرخه‌سواری بانوان,-1
6147,  درخواست برخورداری رزمندگان با حداقل سابقه ۶ ماه جبهه از مزایای حقوقی ارتقاء یک مدرک تحصیلی,-1
6148,  حمایت از مدیر توانمند و انقلابی جناب آقای دکتر حبیب‌اله گل‌محمدی برای تصدی وزارت کار,49
6149,  درخواست  انتشار تمبر پستی طاق کسری,-1
6150,  مطالبه اجرای قوانین خدمات کشوری برای پرسنل و اعضای هیئت علمی دانشگاه آزاد,12
6151,  پیشنهاد انتخاب یک فرد متخصص برای ریاست سازمان حفاظت محیط زیست کشور,-1
6152,  درخواست برگزاری کلاس‌های مدارس به صورت مجازی  تا واکسیناسیون گسترده دانش‌آموزان,2
6153,  درخواست قطع دست دلالان از بازار سهام,52
6154,  درخواست پیگیری جدی و شناسایی عوامل سهل‌انگاری در تأمین امنیت ارشا اقدسی,25
6155,  پیشنهاد استفاده از توان مدیریتی جناب آقای غلامرضا شهیدی بنجار,-1
6156,  مطالبه تأسیس وزارت خانواده و جوانان,3
6157,  اعتراض اعضای صندوق بازنشستگی آینده‌ساز به عملکرد وزارت کار,-1
6158,  اعتراض به دریافت هزینه بابت قرائت نسخه در داروخانه‌ها,-1
6159,  مخالفت با برگزاری آزمون جامع دانشگاه آزاد,-1
6160,  درخواست در اولویت قرار گرفتن واکسیناسیون جوانان,70
6161,  درخواست تهیه واکسن کووید-۱۹ توسط کانون وکلای دادگستری برای وکلا,1
6162,  مطالبه اختصاص دادن سهمیه استخدامی به فارغ‌التحصیلان بهداشت مواد غذایی,1
6163,  درخواست توجه ویژه به حقوق حیوانات و مقابله با ظلم به این موجودات,-1
6164,  حمایت از جناب آقای مهندس مهدی دادفر دبیر انجمن واردکنندگان خودرو,-1
6165,  حمایت از سرکار خانم پریزاد آقاجانی جهت تصدی استانداری گیلان,-1
6166,  درخواست واکسیناسیون کارمندان بخش خصوصی,-1
6167,  درخواست رسیدگی به معضل بی‌کاری فارغ‌التحصیلان دکتری,6
6168,  درخواست حمایت از زنان و تجدید نظر در خصوص شرایط پرداخت مهریه و نفقه,-1
6169,  مطالبات معلمان حق‌التدریس,8
6170,  درخواست تحت پوشش بیمه قرار گرفتن هزینه‌های کاردرمانی بیماران ام‌اس,66
6171,  درخواست توجه به مطالبات و مشکلات صنعت دامپروری,-1
6172,  مطالبه استخدام نیروهای خدماتی شرکتی و پیمانکاری بانک‌ها,10
6173,  درخواست تعطیلی دوهفته‌ای کشور جهت توقف روند افزایش ابتلا به ویروس کرونا,81
6174,  تقاضای بازنگری در خصوص تعیین شرکت بیمه‌گر کارکنان و بازنشستگان وزارت نیرو,-1
6175,  درخواست تعیین تکلیف پرسنل موسسه اعتباری کاسپین در سراسر کشور,-1
6176,  درخواست واکسیناسیون خانواده کادر درمان,-1
6177,  درخواست ممنوع شدن تغییر رشته در مقطع کارشناسی ارشد,-1
6178,  مخالفت با هرگونه تغییر در نام و تابلوی آموزشگاه نابینایان دکتر محمد خزائلی,-1
6179,  درخواست ثبت پلاک تاریخی برای موتورسیکلت‌های کلاسیک,78
6180,  درخواست رسیدگی رئیس جمهور به وضعیت سهام‌های قفل شده بازار بورس,-1
6181,  درخواست کاهش ساعت کاری بانوان,63
6182,  درخواست ممنوعیت تربیت سگ‌ها برای مبارزه و برخورد با بانیان این پدیده,25
6183,  درخواست لغو منع تردد شبانه,-1
6184,  درخواست اقدام برای تطبیق دروس مهارت‌آموزان ماده ۲۸,-1
6185,  مطالبه تبدیل وضعیت نیروهای ۸۹ روزه وزارت بهداشت,10
6186,  مخالفت با بازگشایی مدارس به صورت حضوری,2
6187,  درخواست حمایت از تبدیل وضعیت نیروهای سیمبان وزارت نیرو,10
6188,  مطالبه تبدیل وضعیت کارکنان‌ شرکتی و حجمی شرکت‌های توزیع برق,10
6189,  اعتراض به عدم پرداخت حقوق مصوب سربازان,47
6190,  تقاضای توسعه و ترویج بازار آپشن,1
6191,  درخواست اقدام جهت واردات داروی افینیتور,1
6192,  درخواست انتصاب جناب آقای دکتر محمد جواد محمدی‌زاده به ریاست سازمان حفاظت محیط زیست,-1
6193,  درخواست احتساب شغل پاکبانی در زمره مشاغل سخت,41
6194,  مطالبه استخدام نیروهای کارگزاری‌های تأمین اجتماعی,8
6195,  مطالبه واکسیناسیون پرسنل دفاتر الکترونیکی و پیشخوان دولت,-1
6196,  مخالفت مردمی با محدود نمودن اینترنت,72
6197,  درخواست رفع مشکلات ناشی از حذف دفترچه بیمه تأمین اجتماعی,-1
6198,  این کارزار حذف شده است.,3
6199,  درخواست رسیدگی به مشکلات مدیران فنی و کیفی صنایع غذایی و بهداشتی کشور,-1
6200,  مطالبه جذب مهندسین کشاورزی باقی‌مانده در قالب طرح استخدامی ناظرین کشاورزی,86
6201,  درخواست تبدیل وضعیت تمامی نیروهای طرحی و تمدید طرحی مشمول قانون خدمت پزشکان و پیراپزشکان,10
6202,  حمایت از جناب آقای دکتر حمید رضا عباسی مقدم جهت تصدی معاونت ورزشی وزارت آموزش و پرورش,49
6203,  درخواست ارائه امکانات رفاهی نقدی و غیرنقدی به بازنشستگان دانشگاه فنی و حرفه‌ای,-1
6204,  درخواست استفاده از ظرفیت خدمت سربازی برای کمک به اقتصاد کشور,34
6205,  درخواست برگرداندن رسته فروش و شارژ کپسول‌های آتش‌نشانی و لوازم جانبی به اتحادیه تولیدکنندگان و فروشندگان لوازم ایمنی و آتش‌نشانی,-1
6206,  مخالفت با تأسیس بی‌رویه دانشکده‌های داروسازی,-1
6207,  پیشنهاد استفاده از توان مدیریتی جناب آقای حسین بابایی در دولت آینده,43
6208,  درخواست شروع به کار دبیرخانه فراکسیون مبارزه با مفاسد اقتصادی,-1
6209,  درخواست در نظر گرفتن حقوق قانونی وزارت کار برای معلمین مدارس غیرانتفاعی,-1
6210,  درخواست نظارت بر حقوق دریافتی مسئولین فنی کارگاه‌ها و کارخانه‌های تولیدی,-1
6211,  حمایت از جناب آقای دکتر ولی داداشی جهت تصدی وزارت ورزش و جوانان,49
6212,  اعتراض به نحوه محاسبه امتیاز کرونا در آزمون استخدامی وزارت بهداشت,21
6213,  درخواست لغو بخشنامه اخیر دفتر آمار، ایمنی و ترافیک سازمان راهداری و حمل و نقل جاده‌ای,-1
6214,  درخواست اجرای فوری احکام همسان‌سازی  و پرداخت معوقات اعضای هیئت علمی دانشگاه پیام نور,12
6215,  حمایت از  مدیر جوان انقلابی جناب آقای دکتر رضا سهم دینی جهت تصدی وزارت تعاون، کار و رفاه اجتماعی,-1
6216,  درخواست تصویب قانونی جهت مجاز شدن تحصیل در حین خدمت سربازی,-1
6217,  تقاضای انتصاب جناب آقای محسن رضایی به معاون اولی رئیس جمهور,-1
6218,  نه به افزایش شهریه رشته پزشکی دانشگاه آزاد,-1
6219,  درخواست رسیدگی به اوضاع دشوار مستأجران,6
6220,  درخواست تجهیز شهرهای سراسر کشور به هواپیماهای اطفای حریق,-1
6221,  درخواست جلوگیری از انتقال آب استان آذربایجان غربی,-1
6222,  درخواست بازگشت مهندس رستم قاسمی به وزارت نفت,-1
6223,  درخواست تعویق اجرای آیین‌نامه جدید وکالت,-1
6224,  درخواست ابطال شیوه‌نامه وزارت راه و شهرسازی در خصوص تشخیص صلاحیت شرکت‌های حقوقی طراح و ناظر,-1
6225,  بیانیه اعلام آمادگی اندیشمندان و متخصصان برای ورود به عرصه اقتصاد و تولید دانش‌بنیان,14
6226,  درخواست اجرای قانون خدمات کشوری برای پرسنل قراردادی هواپیمایی هما,-1
6227,  درخواست رسیدگی به مشکلات سهامداران پتروشیمی گلستان,6
6228,  حمایت از دکتر جمشید جراره جهت تصدی وزارت آموزش و پرورش,49
6229,  حمایت از جناب آقای دکتر حمید آخشته جهت تصدی وزارت تعاون، کار و رفاه اجتماعی,-1
6230,  درخواست استیضاح وزیر بهداشت,31
6231,  درخواست پرداخت حقوق کارکنان شهرداری‌ها بر اساس حقوق هماهنگ کشوری,-1
6232,  پیشنهاد انتصاب جناب آقای دکتر قربان شهریاری به ریاست سازمان حفاظت محیط زیست,-1
6233,  حمایت از جناب آقای سید باقر حسینی برای تصدی معاونت امور مجلس ریاست جمهوری,35
6234,  حمایت از جناب آقای دکتر عبدالرضا ساور جهت تصدی وزارت ورزش و جوانان,49
6235,  درخواست پرداخت معوقات حقوق و مطالبات کارکنان دولت توسط کارت‌های اعتباری مستقیم,-1
6236,  درخواست شهید در نظر گرفتن هموطنانی که بر اثر کرونا فوت کرده‌اند,70
6237,  درخواست حذف سود مشارکت شش درصد ثبت‌نام کنندگان خودرو در سال ۹۹,0
6238,  مطالبه الزام شرکت‌های ناشر بورس و فرابورس به واریز سود سهام سهامداران از طریق سامانه سجام,-1
6239,  حافظ طبیعت باشیم,-1
6240,  حمایت از جناب آقای دلاور صیامی جهت تصدی پست ریاست دفتر بازرسی ویژه رئیس جمهور,-1
6241,  درخواست جلوگیری از ادغام معاونت دانشجویی و معاونت فرهنگی و اجتماعی دانشگاه فرهنگیان,12
6242,  پیشنهاد انتخاب جناب آقای دکتر علیرضا طهماسبی به عنوان وزیر صنعت، معدن و تجارت,-1
6243,  درخواست لغو شناور بودن کنکور هنر,11
6244,  تقاضای تبدیل وضعیت نیروهای شرکتی بانک ملت,10
6245,  پیشنهاد استفاده از توان مدیریتی حجت الاسلام والمسلمین دکتر قاسمعلی نوچمنی در دولت سیزدهم,43
6246,  مطالبه انتخاب جناب آقای دکتر علی محمد حلمی جهت تصدی وزارت میراث فرهنگی، گردشگری و صنایع دستی,-1
6247,  درخواست انتصاب مدیر با تجربه درون سازمانی برای ریاست سازمان فنی و حرفه‌ای,-1
6248,  حمایت از جناب آقای دکتر شاپور نظرپور جهت تصدی سمت معاونت وزیر و رئیس شرکت عمران شهرهای جدید,-1
6249,  درخواست بررسی غیر استاندارد بودن سئوالات کنکور سراسری,11
6250,  درخواست ایجاد جایگاه فنی برای استفاده از توان و تخصص مهندسین علوم دامی در تمامی عرصه‌های صنعت دام و طیور کشور,-1
6251,  درخواست انتخاب جناب آقای مهندس عسگر یعقوبی به عنوان مدیرعامل سازمان تأمین اجتماعی,-1
6252,  درخواست بررسی احکام صادر شده علیه باشگاه بزرگ پرسپولیس,45
6253,  درخواست شهر شدن دهستان هودیان,67
6254,  درخواست اصلاح و بهبود فرآیند اخذ گواهینامه موتورسیکلت,-1
6255,  مطالبه اصلاح قانون و اساسنامه تعاونی‌های مسکن,-1
6256,  درخواست رسیدگی به وضعیت معاملاتی نماد غشهد و روشن شدن دلایل ریزش سنگین آن,6
6257,  درخواست سهامداران مردمی شرکت پدیده شاندیز از مقام معظم رهبری,55
6258,  درخواست تغییر رویه ساترا در ممیزی فیلم‌ها و سریال‌ها,-1
6259,  درخواست در اولویت قرار گرفتن واکسیناسیون فعالین حوزه گردشگری,70
6260,  درخواست افزایش ظرفیت رشته پزشکی,56
6261,  درخواست در اولویت قرار گرفتن پرسنل شرکت نفت فلات قاره برای دریافت واکسن کرونا,70
6262,  حمایت از جناب آقای دکتر شهرام آهنجان جهت تصدی وزارت ورزش و جوانان,-1
6263,  تقاضای رسیدگی عاجل به پرونده سکه ثامن,-1
6264,  حمایت از انتخاب جناب آقای سعید شاه‌محمدی جهت تصدی ریاست بنیاد ملی نخبگان,-1
6265,  درخواست اجرای کامل طرح طبقه‌بندی کارگران,-1
6266,  مطالبه شفاف‌سازی آرا نمایندگان مجلس شورای اسلامی,97
6267,  مطالبه حمایت از بیماران خاص دارای داروی تک نسخه‌ای,1
6268,  درخواست درنظر گرفتن امتیازاتی نظیر حق مسکن و سفر برای فرهنگیان کشور,-1
6269,  درخواست افزایش سقف سنوات آموزشی مجاز دکتری به دلیل تبعات ناشی از شیوع کرونا,-1
6270,  درخواست پذیرش رشته علوم اجتماعی برای شغل آموزگاری در آزمون استخدامی ۱۴۰۰,-1
6271,  درخواست برگزاری الکترونیکی انتخابات هیئت مدیره سازمان نظام مهندسی,39
6272,  مطالبه تعویق مجدد کنکور ارشد وزارت بهداشت,11
6273,  درخواست لغو قوانین جدید چک,3
6274,  درخواست تبدیل وضعیت ایثارگران وزارت علوم، تحقیقات و فناوری,-1
6275,  مطالبه انتخاب مهندس نبی‌زاده به عنوان دبیر شورای عالی مناطق آزاد,-1
6276,  درخواست صدور مجوز فعالیت زنان  در ورزش ملی زورخانه‌ای,-1
6277,  درخواست ارتقای توان معیشتی کارکنان بانک مسکن,-1
6278,  درخواست تعطیلی مدارس در سال تحصیلی آینده,22
6279,  درخواست تسریع در رسیدگی به پرونده کریپتولند,-1
6280,  درخواست انعقاد قرارداد مستقیم با نیروهای پیمانی کشتیرانی دریای خزر,10
6281,  درخواست جلوگیری از انتقال آب رودخانه کارون و نابودی محیط زیست خوزستان,4
6282,  مطالبه تبدیل وضعیت نیروهای طرحی ایثارگر وزارت بهداشت,10
6283,  درخواست تعویق آزمون استخدامی بانک تجارت,-1
6284,  درخواست استخدام نیروهای پیمانکاری واحد علائم و سیگنالینگ متروی تهران به صورت قراردادی رسمی,10
6285,  درخواست اعطای فوری مرخصی ویژه‌ کرونا به زندانیان سراسر کشور,-1
6286,  درخواست بازگشت عادل فردوسی‌پور به عرصه مجری‌گری و گزارشگری برنامه‌های فوتبالی,95
6287,  درخواست واکسیناسیون سریع شاغلین حوزه پخش مواد غذایی، بهداشتی و دارویی در سراسر کشور,-1
6288,  درخواست رسیدگی به مطالبات سهامداران موسسه مالی و اعتباری افضل توس,6
6289,  حمایت از احتساب شغل رانندگان کامیون در زمره مشاغل سخت و زیان‌آور,41
6290,  درخواست بازبینی مجدد کلید آزمون دستیاری دوره ۴۸ و تعدیل ظرفیت پذیرش داوطلبین سهمیه آزاد,-1
6291,  حمایت از جناب آقای دکتر سید محمد حسینی جهت تصدی وزارت علوم,49
6292,  درخواست انعقاد قرارداد مستقیم با نیروهای شرکتی بانک کشاورزی,10
6293,  حمایت از کاندیداهای مورد حمایت اعضای هیئت علمی سه دانشگاه علوم پزشکی شهر تهران,12
6294,  دادخواهی بازنشستگان دانشگاه‌های سراسر کشور,-1
6295,  حمایت از جناب آقای دکتر رضا شایسته‌فرد جهت تصدی دستیار ویژه رئیس‌جمهور در امور اقوام و اقلیت‌های دینی و مذهبی,43
6296,  درخواست واکسیناسیون مددکاران و روانشناسان مراکز مثبت زندگی سراسر کشور,3
6297,  مطالبه حمایت جدی از زنان بدسرپرست,1
6298,  مطالبه جداسازی وزارت راه و ترابری از مسکن و شهرسازی,-1
6299,  درخواست برقراری عدالت در تعیین حقوق معلمان کشور,0
6300,  درخواست تسریع در تعیین تکلیف پرونده شاکیان رامک خودرو,-1
6301,  درخواست آسفالت مسیر دسترسی به بزرگترین دره آبی ایران، تنگه رغز روستای گردشگری شمس‌آباد,5
6302,  درخواست لغو تبعیض و بی‌عدالتی در بهره‌مندی بازنشستگان ایثارگر از امتیازات یک مقطع تحصیلی بالاتر,0
6303,  درخواست تبدیل وضعیت پرستاران ۸۹ روزه,10
6304,  درخواست لغو  قانون ثبت فروش سیگار از طرف عاملین استانی در سامانه تجارت,-1
6305,  درخواست اصلاح قوانین و تشکیل کمیته نظارت در راستای برداشته شدن بروکراسی دست‌وپاگیر,-1
6306,  درخواست برخورد قاطع با مسببین خشکی تالاب بین‌المللی هورالعظیم,-1
6307,  درخواست حذف شرکت‌های تأمین نیروی بانک سپه,-1
6308,  درخواست تشدید قانون مجازات شکارچیان و دفاع از حقوق محیط‌بانان کشور,3
6309,  درخواست لغو ممنوعیت شرکت در کنکور کارشناسی ارشد از رشته‌های غیرمرتبط,-1
6310,  مطالبه جلوگیری از ورود فاضلاب به کارون,4
6311,  درخواست اختصاص بودجه و تجهیز هر چه سریع‌تر شهرهای کشور جهت مهار حریق جنگل‌ها,-1
6312,  درخواست لغو طرح ممنوعیت شرکت در کنکور رشته غیرمرتبط در مقطع کارشناسی ارشد,-1
6313,  درخواست افزایش حقوق پزشکان عمومی,8
6314,  درخواست واکسیناسیون کارکنان کلیه بانک‌ها,19
6315,  درخواست رسیدگی سریع به وضعیت مقبره خوشنویسان نامی کشور,6
6316,  درخواست استخدام فرزندان کارکنان وزارت نیرو در این وزارتخانه,86
6317,  درخواست رفع تبعیض در پرداخت حقوق کارکنان سازمان جنگل‌ها، مراتع و آبخیزداری کشور,-1
6318,  درخواست حذف آزمون جامع یا برگزاری آن به صوت مجازی,2
6319,  درخواست اجباری شدن بیمه روانشناسان مراکز ترک اعتیاد,-1
6320,  درخواست در اولویت قرار گرفتن دانش‌آموزان برای دریافت واکسن کرونا,70
6321,  درخواست در اولویت قرار گرفتن تبدیل وضعیت ایثارگری رانندگان استیجاری,70
6322,  درخواست توجه به مطالبات نیروهای شرکتی بانک ملی ایران,-1
6323,  حمایت اعضای سازمان نظام مهندسی از اقدام شجاعانه وزیر راه و شهرسازی,39
6324,  درخواست تبدیل وضعیت نیروهای خدمات آموزش و پرورش طرح مهرآفرین,15
6325,  مطالبه اجرای کامل و دقیق ابلاغیه وزیر محترم راه و شهرسازی در زمینه تعارض منافع,-1
6326,  تقاضای توقف اجرای آیین‌نامه اجرایی لایحه استقلال کانون وکلای دادگستری,-1
6327,  درخواست فعالسازی بسته اینترنت رایگان برای دانشجویان و معلمان,75
6328,  درخواست رسیدگی به وضعیت شرکت تعاونی ترابری تهران,6
6329,  حمایت از مهندس امین جمشیدی دلفانی جهت تصدی سمت مشاور وزیر صمت و یا مشاور رئیس جمهور در امور مربوط به صنعت,43
6330,  حمایت از انتخاب جناب آقای مهندس حسن عزیزی نوذری به عنوان معاونت برنامه ریزی و توسعه منابع انسانی وزارت کشور,-1
6331,  پیشنهاد استفاده از توان مدیریتی دکتر محسن نظرپور در دولت سیزدهم,43
6332,  حمایت از مدیر انقلابی جناب حجت الاسلام والمسلمین سید صادق نجابت جهت تصدی بنیاد شهید و امور ایثارگران,-1
6333,  مخالفت با طرح‌های محدودکننده اینترنت بین‌المللی و فیلترینگ شبکه‌های اجتماعی,16
6334,  درخواست بررسی شایعات پیرامون تقلب در کنکور ۱۴۰۰,11
6335,  مطالبه مقابله با قوم‌گرایی افراطی,-1
6336,  پیشنهاد جناب آقای مهندس سیدی جهت تصدی وزارت ارتباطات در دولت سیزدهم,-1
6337,  درخواست از رئیس جمهور جدید جهت رسیدگی به مشکلات جوانان دهه شصتی,30
6338,  مطالبه نظارت بر افزایش بی‌رویه قیمت اجاره بها,65
6339,  درخواست ممنوع شدن بیش از دو بار نمایندگی در شوراهای شهر,-1
6340,  درخواست ایجاد محدودیت برای دسترسی به قرص برنج,3
6341,  درخواست حذف عنوان مجازی از مدرک فارغ‌‌‌التحصیلان آموزش الکترونیکی دانشگاه تهران,2
6342,  حمایت از رئیس محترم فدراسیون ورزش‌های زورخانه‌ای سردار مهرعلی باران چشمه,-1
6343,  اعتراض به حذف مرحله تکمیل ظرفیت پذیرش دانشجوی دکترا,-1
6344,  تقاضای ارائه دروس عملی در ترم تابستان برای دانشجویان دانشگاه پیام نور,-1
6345,  مطالبات موسسان، مدیران و دبیران مدارس غیردولتی,-1
6346,  درخواست بررسی نحوه ورود سازمان بازرسی کل کشور و حدود صلاحیت قانونی آن سازمان در موضوع شرکت سهامی عام پلی اکریل ایران,-1
6347,  درخواست معرفی دکتر محمد جواد محمدی نوری به عنوان وزیر ورزش و جوانان,-1
6348,  مطالبه استخدام نیروهای آزاد مدارس غیردولتی,19
6349,  درخواست الکترونیکی شدن انتخابات سازمان نظام مهندسی ساختمان,39
6350,  درخواست از سازمان نظام مهندسی جهت تهیه واکسن برای اعضای سازمان,-1
6351,  درخواست تصویب قانونی جهت منع به کارگیری بازنشستگان در بانک‌ها,-1
6352,  درخواست رسیدگی به مشکلات پرتونگاران صنعتی,6
6353,  درخواست بازنگری طرح اقدام ملی مسکن,-1
6354,  حمایت از جناب آقای دکتر بهزاد خسروی (آدینه‌وند) جهت تصدی وزارت صنعت، معدن و تجارت,49
6355,  درخواست توقف تشریح حیوانات بی‌دفاع در دانشکده‌های دامپزشکی کشور,57
6356,  حمایت از گزینش دکتر شهرداد خاموشی به عنوان وزیری شایسته در مسیر گام دوم انقلاب,43
6357,  تقاضای جلوگیری از خرید و فروش اینترنتی حیوانات در پلتفرم‌های دیوار و شیپور,-1
6358,  پیشنهاد بهره‌مندی از توان و تخصص مدیریتی حجت الاسلام دکتر اسدالله اخلاقی در دولت سیزدهم,43
6359,  درخواست تغییر صندوق بازنشستگی از تأمین اجتماعی به بازنشستگی کشوری برای اعضای هیئت علمی رسمی مشمول صندوق تأمین اجتماعی,8
6360,  درخواست هواداران باشگاه استقلال ایران از حضرت آیت الله رییسی,55
6361,  مطالبه احقاق حقوق و مطالبات سهامداران شرکت تعاونی راهداران کشور,54
6362,  تقاضای جذب سربازمعلمان در آموزش و پرورش,15
6363,  درخواست تسری تسهیلات مصوب برای جانبازان بالا بیست و پنج درصد به سایر جانبازان و رزمندگان,79
6364,  درخواست ارائه تسهیلات بانکی با سود پایین برای خرید مسکن,-1
6365,  پیشنهاد دانشگاهیان جهت انتصاب جناب آقای دکتر سید علی علم‌الهدی به عنوان وزیر علوم,-1
6366,  پیشنهاد استفاده از ظرفیت جهادی و نخبگی دکتر حامد رستمی نجف‌آبادی در کابینه دولت سیزدهم,43
6367,  مطالبه تبدیل وضعیت محیط‌بانان طرحی و قراردادی,10
6368,  درخواست تجدیدنظر در نمرات پایانی گروه معماری دانشکده‌ شریعتی,21
6369,  درخواست رسیدگی به وضعیت شغلی فارغ‌التحصیلان رشته الهیات,42
6370,  اعتراض به تأخیر در اعلام نتایج مصاحبه‌های دستگاه‌های اجرایی,-1
6371,  درخواست ثبت روز ۱۹ مهر به عنوان روز تاریخ و بزرگداشت مورخ,53
6372,  درخواست استخدام کارنامه سبزهای وزارت کشور,-1
6373,  درخواست حمایت دولت و سازمان تأمین اجتماعی از خانواده‌های دارای فرزندان اوتیستیک,1
6374,  درخواست تبدیل وضعیت نیروهای خرید خدمت اورژانس اجتماعی کل کشور,10
6375,  مطالبه اختصاص واگن‌هایی از مترو به افرادی که از دوچرخه استفاده می‌کنند,82
6376,  شکایت از کیانوش جهانپور سخنگوی سازمان غذا و دارو در پی توهین به منتقدین نظام توزیع واکسن,-1
