,Topic,tweet
108,  درخواست انتصاب سرپرست بی‌طرف به‌جای آقای جواد نصیری برای انجمن موی‌تای جمهوری اسلامی ایران,-1
109,  اعتراض به آزمون‌های فارماکولوژی دانشگاه علوم پزشکی هوشمند,-1
110,  درخواست حل مشکلات ساخت و ساز محله نخلستان شهرستان کارون اهواز,-1
111,  درخواست از نمایندگان مجلس برای رای اعتماد به همه وزرای پیشنهادی دکتر پزشکیان,43
112,  درخواست برقراری فوق‌العاده خاص جهت کارکنان وزارت نیرو (صنعت آب و برق),48
113,  درخواست کمک داروسازان از رئیس جمهور محترم,30
114,  اعتراض به فرسودگی ناوگان تاکسی‌های ون,-1
115,"  درخواست بازگرداندن نام ""دانشکده روانشناسی""",-1
116,  درخواست صدور پروانه شکار قانونی و حمایت از شکارچیان قانونمند,-1
117,  درخواست تعیین تکلیف ناظرین کشاورزی و منابع طبیعی,-1
118,  درخواست برداشتن آزمون وکالت و حرفه‌ای کردن حرفه یا شغل وکالت,-1
119,  درخواست اضافه شدن رشته میکروبیولوژی به آزمون های وزارت بهداشت,42
120,  درخواست استفاده از دکتررحمت الله مرزوقی در کابینه,43
121,  درخواست پرداخت به‌موقع حقوق بازنشستگان تأمین اجتماعی,8
122,  حمایت از استاد دکتر ظفرقندی، وزیر پیشنهادی بهداشت، درمان و آموزش پزشکی,-1
123,  درخواست فک پلمب و بازگشایی مرکز آزمون زبان آلمانی - گوته,-1
124,  نه به سوزاندن طبیعت و محیط زیست و درخواست ممنوعیت آتش زدن بقایای محصولات کشاورزی,-1
125,  درخواست انتخاب و انتصاب مدیران شهری بر مبنای شایستگی و از بدنه‌ی شهرداری‌ها,-1
126,  درخواست جرم‌انگاری و مجازات اقدام کنندگان به نصب برچسب‌های تبلیغاتی,-1
127,  درخواست محاکمه مدیران متخلف صندوق‌های بازنشستگی کشوری,73
128,  درخواست اجرای خدمات درمانی و دندان پزشکی برای جانبازان و ایثارگران و خانواده‌های محترم,91
129,  درخواست حمایت از بازنشستگان بانک سپه بعد از ادغام,1
130,  درخواست رفع نواقص  و خلا قانونی آموزش و پرورش در پرداخت حقوق‌ها,0
131,  درخواست ممنوعیت تبدیل وضعیت آموزگاری تربیت بدنی به دبیری تربیت بدنی,-1
132,  درخواست حمایت نمایندگان محترم مجلس از کاندیداتوری وزارت کار رفاه و امور اجتماعی جناب آقای دکتر میدری,-1
133,  درخواست عدم تغییر زمان آزمون‌های المپیاد‌های علمی,-1
134,  درخواست رسیدگی به مطالبات کادر درمان,-1
135,  درخواست تفکیک وزارت راه و شهرسازی,-1
136,  درخواست تغییر نام بیمه ایران به بیمه خلیج فارس ایران,76
137,  درخواست جلوگیری از ایجاد سهمیه‌های جدید در پذیرش دانشگاه‌ها و بازنگری در سایر سهمیه‌ها,-1
138,  درخواست توجه به معیشت مهندسان و ارتقا سلامت اداری سازمان نظام مهندسی ساختمان کشور و استان‌ها,-1
139,  درخواست جلوگیری از پاداش‌های بی‌حساب به ورزشکاران المپیک در شرایط سخت اقتصادی,0
140,  درخوست به‌کارگیری کارنامه‌سبزها به جای بازنشسته‌ها آموزش و پرورش,-1
141,  درخواست تعیین تکلیف صندوق تأمین آتیه کارکنان بانک ملت,-1
142,  درخواست حمایت از ماندن حاج محمود پاکدل در بنیادشهید,-1
143,  درخواست پیشگیری از مداخله افراد فاقد صلاحیت در امور درمانی,0
144,  درخواست حمایت از کارگران ساختمانی,1
145,  درخواست کاهش مالیات حقوق کارمندان و کارگران و مالیات اصناف؛ الوعده وفا,8
146,  بازنگری در عوامل رتبه‌بندی معلمان ورفع نگاه‌های سلیقه‌ای و بی‌عدالتی‌ها,47
147,  درخواست ابقا دکتر کولیوند به ریاست جمعیت هلال احمر کشور,-1
148,  درخواست کسر بیمه بازنشستگی از اضافه‌کاری و دیگر پرداختی‌های کارمندان دولت,-1
149,  درخواست رجیسترآیفون ۱۴ و ۱۵,-1
150,  اعتراض به شیوه ارزیابی در آزمون استخدامی دبیری و هنر‌آموزی,-1
151,  درخواست استخدام فرزندان فرهنگیان بازنشسته بدون آزمون استخدامی در آموزش و پرورش همانند دیگر ارگان‌ها,15
152,  اعتراض به سطح و فشردگی امتحانات دروس پاتولوژی دانشگاه هوشمند,2
153,  مطالبه حذف شرط گواهینامه پایه دو برای آتش‌نشانان غیر راننده,-1
154,  درخواست اعمال ضریب اشتغال حرفه‌ای (p),-1
155,  درخواست برداشتن قانون پرداخت سقف حقوق کارکنان شرکت نفت,51
156,  درخواست اجرای اصل ۱۵ قانون اساسی,29
157,  درخواست لغوشدن بخشنامه‌های غیر قانونی جناب آقای علی فرهادی,-1
158,  حمایت از وزیر پیشنهادی وزارت بهداشت درمان و آموزش پزشکی آقای دکتر ظفر قندی,-1
159,  اعتراض به آزمون فارما ضد میکروب و ایمنی بالینی,40
160,  درخواست تبدیل وضعیت قرارداد معین های آزمون ماده ۲۸ ۱۴۰۲,-1
161,  درخواست حمایت دکتر سعید اوحدی از موسسه طنین ایثارگران کشور,14
162,  درخواست بررسی تبعیض در حقوق دریافتی پرسنل وزارت کار با دیگر وزارتخانه‌ها به رئیس جمهور,0
163,  درخواست امکان ثبت نام تکمیل ظرفیت برای کارنامه قرمزهای آموزگاری,56
164,  اعتراض به محدودیت شرکت کارنامه قرمزها در تکمیل ظرفیت آزمون آموزگاری,-1
165,  اعتراض به نتایج آزمون دبیری,40
166,  درخواست تکمیل ظرفیت آزمون استخدامی دبیری و هنرآموزی,56
167,  درخواست تکمیل ظرفیت آزمون دبیری,56
168,  درخواست حمایت از کارکنان بانک ملت,1
169,"  حمایت از سرکار خانم دکتر فرزانه صادق مالواجرد ""وزیر پیشنهادی راه و شهرسازی""",-1
170,  اعتراض به مدت زمان کوتاه و سختی دومین آزمون صلاحیت حرفه‌ای روانشناسان و مشاوران,40
171,  حمایت از آقای دکتر احمد میدری، وزیر پیشنهادی تعاون، کار و رفاه اجتماعی,-1
172,  درخواست صدور مجوز برای شرکت کارنامه قرمزها در تکمیل ظرفیت آزمون دبیری و هنرآموز,56
173,  اعتراض به افزایش قیمت خودسرانه آرین پارس خودرو لاماری,23
174,  درخواست اجرای قانون حالت اشتغال مطابق با قانون سال ۷۲,-1
175,  درخواست الزامی‌شدن وکالت در دعاوی,11
176,  درخواست محاکمه هیئت مدیره سازمان بورس,-1
177,  درخواست شکست سکوت رییس‌جمهور,31
178,  درخواست حمایت از وزارت فرزانه صادق مالواجرد,-1
179,  درخواست بازنگری و تعدیل سهمیه‌های تحصیلی,-1
180,  درخواست تغییر کاربری زمین ۸۰۰۰متری پشت شهرک دانشگاه سقز کمیسیون ماده ۵ برای فرهنگیان سقز,-1
181,  اعتراض به محصولات پاکشوما,-1
182,  درخواست شفاف‌سازی آرای نمایندگان مجلس در بررسی و رأی اعتماد به وزرای پیشنهادی,43
183,  درخواست افزایش درصد جانبازی آزادگان عزیز,-1
184,  درخواست لغو قانون سقف بودجه در فوتبال ایران,0
185,  مطالبه ملی استفاده از ظرفیت‌های علمی و تخصصی دکتر محمد جواد ظریف,43
186,  درخواست حمایت از جناب آقای محسن پاکنژاد برای تصدی وزارت نفت,49
187,  درخواست افزایش فوق‌العاده ویژه مدیریت بحران و سختی کار به احکام کارگزینی سازمان منابع طبیعی کشور,48
188,  اعتراض به امتحانات‌نهایی دانش‌آموزان,-1
189,  درخواست رسیدگی فوری به کادر بهداشت و درمان,-1
190,  حمایت از قانون مجوز تأسیس داروخانه به غیر داروسازان و درخواست کاهش میزان حضور مسئول فنی در هر داروخانه را به ۴ ساعت در شبانه‌روز,-1
191,  اعتراض به زیر میزی پزشکان,47
192,  اعتراض داوطلبان آموزش و پرورش به طرح بکارگیری بازنشستگان,-1
193,  درخواست تکمیل ظرفیت آزمون کیفیت بخشی با بالاترین ظرفیت,56
194,  درخواست جلوگیری از تحصیل غیرقانونی خانم مبینا نعمت‌زاده در رشته پزشکی دانشگاه تهران,-1
195,ین کمپین‌های جمع آوری امضا,17
196,ین کمپین‌های جمع آوری امضا,17
197,ین کمپین‌های جمع آوری امضا,17
198,ین کمپین‌های جمع آوری امضا,17
199,ین کمپین‌های جمع آوری امضا,17
200,ین کمپین‌های جمع آوری امضا,17
201,ین کمپین‌های جمع آوری امضا,17
202,ین کمپین‌های جمع آوری امضا,17
203,ین کمپین‌های جمع آوری امضا,17
204,ین کمپین‌های جمع آوری امضا,17
205,ین کمپین‌های جمع آوری امضا,17
206,ین کمپین‌های جمع آوری امضا,17
207,ین کمپین‌های جمع آوری امضا,17
208,ین کمپین‌های جمع آوری امضا,17
209,ین کمپین‌های جمع آوری امضا,17
210,ین کمپین‌های جمع آوری امضا,17
211,ین کمپین‌های جمع آوری امضا,17
212,ین کمپین‌های جمع آوری امضا,17
213,ین کمپین‌های جمع آوری امضا,17
214,ین کمپین‌های جمع آوری امضا,17
215,ین کمپین‌های جمع آوری امضا,17
216,ین کمپین‌های جمع آوری امضا,17
217,ین کمپین‌های جمع آوری امضا,17
218,ین کمپین‌های جمع آوری امضا,17
219,ین کمپین‌های جمع آوری امضا,17
220,  درخواست لغو بخشنامه وزارتی به تاریخ دوم مردادماه ۱۴۰۳دستورالعمل شرح وظایف ونحوه بکارگیری و فعالیت راهبران آموزشی و تربیتی,-1
221,  درخواست عزل رئیس بانک مرکزی و رئیس سازمان بورس,-1
222,  حمایت از دکتر عباس علی‌آبادی جهت تصدی وزارت نیرو,49
223,  درخواست کاهش تصادفات و تلفات جاده‌ای,-1
224,  درخواست جلوگیری از تأسیس داروخانه توسط غیر داروسازان,3
225,  درخواست استفاده از سابقه تأمین اجتماعی کارگران برای ضمانت بانک‌ها,-1
226,  درخواست از دکتر پزشکیان ریاست محترم جمهور مبنی بر انتصاب دکتر رحمت الله بیگدلی در سمت مدیرکل بازرسی، نظارت و ارزیابی عملکرد نهاد ریاست جمهوری,43
227,  درخواست بازگشت دکتر ظریف به کابینه پزشکیان,-1
228,  درخواست رسیدگی به تخلفات و بازیکنان خارجی باشگاه استقلال,45
229,  درخواست معرفی دکتر علی پاک‌فطرت به ریاست محترم جمهور به عنوان مشاور رئیس جمهور در امور جوانان,43
230,  اعتراض جمعی از اعضای ستاد و حامیان دکتر پزشکیان نسبت به انتخاب وزرا,14
231,  درخواست پرهیز از جنگ و تلاش جهت رفع تحریم,-1
232,  درخواست بازگشت اساتید و نقش‌آفرینی دانشگاه در حل مسائل کشور,12
233,  درخواست ثبت هفتم آبان ماه روز بزرگداشت کوروش بزرگ در تقویم رسمی کشور,53
234,  درخواست بازپس‌گیری وزرای پیشنهادی,-1
235,  درخواست از نمایندگان محترم مجلس برای رای اعتماد به آقای نوری قزلجه، وزیر پیشنهادی وزارت جهاد کشاورزی دولت چهاردهم,49
236,  درخواست از‌ نمایندگان محترم‌ مجلس برای رای حداکثری به دکتر علیرضا کاظمی، گزینه‌ی وزارت آموزش و پرورش,49
237,  اعتراض  و مخالفت با وزارت علیرضا کاظمی,72
238,  درخواست کاهش سقف مهریه,-1
239,  درخواست ثبت شدن تکنسین‌های سامانه‌ هوشمند سوخت در سامانه ساپنا,-1
240,  درخواست بخشش مدنی امیر تتلو,-1
241,  درخواست اخراج اتباع بیگانه که فاقد کارت هویت هستند و به صورت غیرقانونی وارد مرزهای کشور ایران شده‌اند و بستن مرزها بر روی آنها,36
242,  درخواست ارتقای حقوق و مزایای کارکنان دیسپاچینگ وزارت نیرو,-1
243,  درخواست ساخت فیلم کوروش بزرگ؛ پاسخی به تحریف تاریخ ما,37
244,  درخواست ماندن دکتر ظریف در دولت,-1
245,  درخواست بازگشت کرسی جهاد دانشگاهی در شورای عالی انقلاب فرهنگی,60
246,  درخواست پرداخت کامل مطالبات ماده ۱۰,-1
247,  درخواست واگذاری نظافت و مدیریت پساماند جنگل‌ها و مراتع به سازمان جنگلداری‌ها,-1
248,  درخواست اضافه کردن رشته محیط زیست به آزمون‌های آموزش و پرورش,42
249,  درخواست حذف هیئت امنای دانشگاه‌های علوم پزشکی,12
250,  اعتراض به تبعیض ۳۰۰ میلیون تومانی در ایران تایر,-1
251,  نه به وزارت فرزانه صادق مالواجرد,27
252,  درخواست تصویب طرح ساماندهی کارکنان دولت در مجمع تشخیص,-1
253,  اعتراض به ۷ ساله شدن شورای ششم,-1
254,  در خواست حذف شدن تمام رشته های غیر مرتبط در شغل آموزگاری,-1
255,  درخواست اجرای مصوبات شورای شهر تهران برای تبدیل وضعیت نیروهای قراردادی به رسمی (ثابت) و فوق‌العاده خاص و گروه پرسنل,10
256,  درخواست حمایت از خانم دکتر رازانی منتخب فرهنگیان برای تصدی وزارت آموزش و پرورش,-1
257,  درخواست تصویب قانون نیاز به رای اعتماد مجلس به معاونین رئیس جمهور,97
258,  درخواست اضافه شدن بیمه‌ی زمان تحصیل مثل سربازی( بعد از اتمام تحصیلات),28
259,  درخواست حمایت از جامعه وکالت دربرابر قوانین ضدوکلای دادگستری,-1
260,  درخواست مطالبات پاداش بازنشستگان کشوری,-1
261,  درخواست رصد و پاکسازی فضای مجازی از گنجیابان,-1
262,  درخواست حمایت از سید مصطفی کریمی جهت تصدی پست وزارت ورزش و جوانان دولت چهاردهم,49
263,  درخواست افزایش حقوق کارکنان نیروگاه‌های بخش خصوصی و دولتی,-1
264,  درخواست عدم انتصاب مدیران غیر نفتی در وزارت نفت,-1
265,  درخواست حذف آزمون اصلح,-1
266,  درخواست لغو قانونِ انتخاب دبیران کلاسی توسط مدیران مدارس دولتی,-1
